plot_label	plot_universe_id	corpus_database_id	name	record_kind	inventory_status	current_scope_roles	plot_relevance_field	plot_relevance_value	access_status	host	landing_url	raw_url	existing_local_paths	result_fields_available	has_d_or_convertible_effect	has_n	has_replication_pair_mapping	result_artifact_acquisition_state	acquisition_route_type	acceptable_result_artifact_classes	target_local_root	priority	blocker_codes	next_action	notes	last_seen
figure2	plot2_published_paper_d_vs_n	corpus_db_aact_pubmed_primary_outcomes	AACT x PubMed primary outcomes	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: source count not confirmed locally. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.	no	no		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/aact_pubmed_primary_outcomes	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_dellavigna_linos_2022	academic nudge journals	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 43 paper units, 106 test/effect rows. Confirmed: journal provenance: yes (43); paper grouping: yes (43); paper D/N: yes (43); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/dellavigna_linos_2022	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_aczel_2018_negative_claim_ttests	Aczel negative-claim t-test comparator	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: 30 paper units, 62 test/effect rows. Confirmed: journal provenance: yes (30); paper grouping: yes (30); paper D/N: yes (30); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/aczel_2018_negative_claim_ttests	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_turner_antidepressants_2022	antidepressant journal rows	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 23 paper units, 35 test/effect rows. Confirmed: journal provenance: yes (23); paper grouping: yes (23); paper D/N: yes (23); main selector: yes (23).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/turner_antidepressants_2022	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_arelbundock_political_science_bear	ArelBundock political science via BEAR	corpus_or_database	not_included	figure2_source	figure2_published_relevance	yes						Known: source count not confirmed locally. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.	no	no		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/arelbundock_political_science_bear	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_economics_brodeur_2024	Brodeur economics corpus	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 217 paper units, 10,071 test/effect rows. Confirmed: journal provenance: yes (217); paper grouping: yes (217); paper D/N: yes (217); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/economics_brodeur_2024	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_score_cos_claims	DARPA SCORE / COS claims	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 3,193 paper units, 3,684 test/effect rows. Confirmed: journal provenance: yes (3,193); paper grouping: yes (3,193); paper D/N: yes (3,193); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/score_cos_claims	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_esarey_wu_2016_political_science_main_findings	Esarey/Wu political science main findings	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 167 paper units, 167 test/effect rows. Confirmed: journal provenance: yes (167); paper grouping: yes (167); paper D/N: yes (167); main selector: yes (167).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/esarey_wu_2016_political_science_main_findings	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_forrt_fred	FORRT FReD	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 796 paper units, 1,969 test/effect rows. Confirmed: journal provenance: yes (796); paper grouping: yes (796); paper D/N: yes (796); main selector: yes (796).	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/forrt_fred	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure2	plot2_published_paper_d_vs_n	corpus_db_havranek_sigma	Gechert/Havránek sigma meta-analysis	corpus_or_database	included	figure2_source	figure2_published_relevance	yes						Known: 6 paper units, 51 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (6); paper D/N: yes (6); main selector: no.	yes	yes		needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure2/havranek_sigma	medium	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
