Trial Info,,,,,,,,,,,,
Week,1,,,,,,,,,,,
Study ID,3,,,,,,,,,,,
Journal name,NEJM,,,,,,,,,,,
Trial Title,Nivolumab versus Docetaxel in Advanced Nonsquamous NonâSmall-Cell Lung Cancer,,,,,,,,,,,
Trial Link,http://www.nejm.org/doi/pdf/10.1056/NEJMoa1504627,,,,,,,,,,,
Publication date,27/09/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/record/NCT01673867?term=NCT01673867&rank=1,,,,,,,,,,,
Registry ID,NCT01673867,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication,Insufficiently prespecified
1,Overall survival 24 months,,,,,,,Yes,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,0,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication,Insufficiently prespecified
1,Objective response rate of BMS-936558 versus Docetaxel after 24 months,,,,,,,Yes,No,No,No,
2,Progression-free survival (PFS) of BMS-936558 versus Docetaxel after 24 months,,,,,,,No,No,Yes,No,
3,"Clinical benefit of BMS-936558 versus Docetaxel, in PD-L1 + versus PD-L1-protein expression subgroups after 24 months",,,,,,,No,No,No,,Yes
4,"Proportion of subjects exhibiting disease-related symptom progression, as measured by Lung Cancer Symptom Scale (LCSS), in BMS-936558 and Docetaxel groups after 24 months",,,,,,,No,No,No,Yes,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,4,,,,,,TOTALS,1,0,1,1,1
,,,,,,,,,,,,
Non-prespecified outcome in publication table,,,,,,,,Correctly reported as non-pre-specified in table?,,,Not reported,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
,,,,,,,,,,,,
Totals,,,,,,,,,,,,
