Trial Info,,,,,,,,,,,
Week,26/10/2015,,,,,,,,,,
Study ID,20,,,,,,,,,,
Journal name,BMJ,,,,,,,,,,
Trial Title,Liraglutide in people treated for type 2 diabetes with multiple daily insulin injections: randomised clinical trial (MDI Liraglutide trial),,,,,,,,,,
Trial Link,http://www.bmj.com/content/bmj/351/bmj.h5364.full.pdf,,,,,,,,,,
Publication date,28/10/2015,,,,,,,,,,
Registry link,https://www.clinicaltrialsregister.eu/ctr-search/trial/2012-001941-42/SE,,,,,,,,,,
Registry ID,EudraCT 2012-001941-42,,,,,,,,,,
"Protocol link, if available",https://drive.google.com/open?id=0B2r5CjEdwpx_RlF6UXJvMk9oWTQ,"Note: last revised for publication 23/07/2014, trial commenced Feb 2013. Therefore, pre-specified outcomes here are taken from the trial registry entry, given above.",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Primary endpoint will be change in HbA1c from baseline to week 24.,,,,,,,Yes,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,,,
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Change in weight from baseline to week 24,,,,,,,Yes,,,
2,Change in fasting glucose from baseline to week 24,,,,,,,Yes,,,
3,Change in the standard deviation of CGM from the run-in period to week 23-24,,,,,,,Yes,,,
4,Change in mean glucose levels on CGM from the run-in period to week 23-24,,,,,,,Yes,,,
5,Change in 1.5 hour postprandial glucose levels on capillary glucose measurements from the run-in period to week 23-24 ,,,,,,,Yes,,,
6,Change in the score of the DTSQs from baseline to week 24,,,,,,,Yes,,,
7,Score of the DTSQc at week 24 ,,,,,,,Yes,,,
8,Proportion of patients with HbA1c less than 8.0% (64 mmol/mol) at week 24,,,,,,,Yes,,,
9,Proportion of patients with HbA1c less than 7.5% (58 mmol/mol) at week 24 ,,,,,,,Yes,,,
10,Change in total insulin dose from baseline to week 24 ,,,,,,,Yes,,,
11,Proportion of patients with HbA1c less than 7.0% (53 mmol/mol) at week 24 ,,,,,,,Yes,,,
12,Change in blood pressure from baseline to week 24 ,,,,,,,Yes,,,
13,Frequency of non-severe documented symptomatic hypoglycaemia (plasma glucose [PG] less than 4.0 mmol/l) from baseline to week 24,,,,,,,Yes,,,
14,Frequency of asymptomatic non-severe hypoglycaemia (PG less than 4.0 mmol/l) from baseline to week 24,,,,,,,Yes,,,
15,Frequency of non-severe documented symptomatic hypoglycaemia (PG less than 3.0 mmol/l) from baseline to week 24,,,,,,,Yes,,,
16,Frequency of asymptomatic non-severe hypoglycaemia (PG less than 3.0 mmol/l) from baseline to week 24,,,,,,,Yes,,,
17,Frequency of severe hypoglycaemia from baseline to week 24,,,,,,,Yes,,,
18,Change in blood lipid levels from baseline to week 24,,,,,,,Yes,,,
,,,,,,,,,,,
Total,18,,,,,,TOTALS,18,,,
,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,0,,,,,,TOTALS,,,,
,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,
"They have broken up some of their categories into multiple subcategories. For HbA1c target, they have shown significance at three realistic levels rather than just one. For No. of hypoglycaemic episodes, they have shown no significant increase in episodes at 5 different severity levels.
Lipid levels are broken up into 4 categories, all not significantly improved (ie they haven't cherry-picked the one that showed most improvement), and blood pressure levels were significantly reduced in systole, but not diastole. Again, they could have chosen to report only Systolic BP.
I feel the addition of CGM mean and DTSQ total score trivial, and does not warrant a letter.",,,,,,,,,,,
