Trial Info,,,,,,,,,,,,
Week,02/11/2015,,,,,,,,,,,
Study ID,27,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,"Prophylactic antibiotics after acute stroke for reducing pneumonia in patients with dysphagia (STROKE-INF): a prospective, cluster-randomised, open-label, masked endpoint, controlled clinical trial",,,,,,,,,,,
Trial Link,http://www.sciencedirect.com/science/article/pii/S0140673615001269/pdfft?md5=60106e68200fa5329565fe45bdf1352d&pid=1-s2.0-S0140673615001269-main.pdf,,,,,,,,,,,
Publication date,07/11/2015,,,,,,,,,,,
Registry link,http://www.isrctn.com/ISRCTN37118456,,,,,,,,,,,
Registry ID,ISRCTN37118456,,"Also registered at https://www.clinicaltrialsregister.eu/ctr-search/trial/2007-004298-24/GB, although this appears to have been updated post trial commencement.",,,,,,,,,
"Protocol link, if available",https://drive.google.com/open?id=0B2r5CjEdwpx_MWdNRm82RHdROWM,Note: published after trial commencement,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"incidence of chest infections in the first 14 days after stroke onset, defined as temperature greater than 37.5Â°C on two consecutive measurements or a single measurement of greater than 38.0Â°C with chest symptoms and one or more of the following: 
1. White cell count greater than 11,000/mL
2. Pulmonary infiltrate on chest x-rays
3. Positive microbiology cultures",,,,,,,Yes,,,,
2,"the total hospital costs (acute and rehabilitation) for the initial episode of care, calculated as a product of costs per day for type of care (standardised NHS tariff) and number of days spent in each care setting",,,,,,,,,,Yes,Yes
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,2,,,,,,TOTALS,1,,,1,
,,,,,,,,,,,,
Prespecified Secondary Outcome,(Using outcomes at initial registration),,,,,,,Correctly reported?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Adverse events related to antibiotic use,,,,,,,,,,Yes,
2,Antibiotic related side-effects,,,,,,,,,,Yes,
3,New onset of Methicillin Resistant Staphylococcus Aureus (MRSA) infection,,,,,,,Yes,,,,
4,C. difficile diarrhoea,,,,,,,Yes,,,,
5,Mortality [3 months],,,,,,,Yes,,,,
6,institutionalisation [3 months],,,,,,,,,,Yes,
7,measures of activity (Functional Independence Measure) [3 months],,,,,,,,,,Yes,
8,participation (Rankin Scale) [3 months],,,,,,,Yes,,,,
9,mood (Hospital Anxiety and Depression Scale) [3 months],,,,,,,,,,Yes,
10,quality of life (Euroqol 5D) [3 months],,,,,,,Yes,,,,
11,quality of life (Visual Analogue Scale [VAS]) [3 months],,,,,,,,,,Yes,
12,Total duration of hospital stay [3 months],,,,,,,Yes,,,,
13,Incremental Cost-Effectiveness Ratios (ICERs),,,,,,,,,,Yes,
14,Quality-Adjusted Life-Years (QALY) gained by the intervention,,,,,,,,,,Yes,
,,,,,,,,,,,,
Total,14,,,,,,TOTALS,6,,,8,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported,
1,Reported as co-primary outcome: Physician diagnosed pneumonia at 14 days,,,,,,,No,,,Yes,
2,Score on National Institutes of Health Stroke Scale at 14 days,,,,,,,No,,,Yes,
3,All-cause mortality at 14 days,,,,,,,No,,,Yes,
4,Score of 0-2 on the modified Rankin Scale at 90 days,,,,,,,No,,,Yes,
5,New pneumonia from 15 to 90 days,,,,,,,No,,,Yes,
6,Time to death (days),,,,,,,No,,,Yes,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,6,,,,,,TOTALS,0,,,6,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
