Trial Info,,,,,,,,,,,
Week,26/10/2015,,,,,,,,,,
Study ID,17,,,,,,,,,,
Journal name,Lancet,,,,,,,,,,
Trial Title,Clinical outcomes in patients with ST-segment elevation myocardial infarction treated with everolimus-eluting stents versus bare-metal stents (EXAMINATION): 5-year results of a randomised trial,,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00548-6/abstract,,,,,,,,,,
Publication date,28/10/2015,,,,,,,,,,
Registry link,https://clinicaltrials.gov/show/NCT00828087,,,,,,,,,,
Registry ID,NCT00828087,,,,,,,,,,
"Protocol link, if available",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,"Composite endpoint of all-cause death, any myocardial infarction and any revascularization at 1 year. [ Time Frame: First year ]",,,,,,,Yes,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,,,
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,All cause and cardiac mortality [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
2,All cause and cardiac mortality [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
3,All cause and cardiac mortality [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
4,All cause and cardiac mortality [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
5,All cause and cardiac mortality [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
6,Recurrent myocardial infarction [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
7,Recurrent myocardial infarction [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
8,Recurrent myocardial infarction [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
9,Recurrent myocardial infarction [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
10,Recurrent myocardial infarction [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
11,Target lesion revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
12,Target lesion revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
13,Target lesion revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
14,Target lesion revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
15,Target lesion revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
16,Target vessel revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
17,Target vessel revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
18,Target vessel revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
19,Target vessel revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
20,Target vessel revascularization [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: No ],,,,,,,Yes,,,
21,Stent thrombosis [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
22,Stent thrombosis [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
23,Stent thrombosis [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
24,Stent thrombosis [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
25,Stent thrombosis [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,Yes,,,
26,Clinical device success [ Time Frame: Procedure moment ] [ Designated as safety issue: No ],,,,,,,,,,Unclear
27,Clinical procedure success [ Time Frame: procedure moment ] [ Designated as safety issue: Yes ],,,,,,,,,,Unclear
28,Major and minor bleeding [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,,,,Yes
29,Major and minor bleeding [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,,,,Yes
30,Major and minor bleeding [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,,,,Yes
31,Major and minor bleeding [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,,,,Yes
32,Major and minor bleeding [ Time Frame: at 1 year and yearly up to 5 years ] [ Designated as safety issue: Yes ],,,,,,,,,,Yes
33,,,,,,,,,,,
,,,,,,,,,,,
Total,32,,,,,,TOTALS,25,,,5
,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-pre-specified
1,Composite outcome at the 4 further follow up time points,,,,,,,No,,,Yes
2,Composite outcome at the 4 further follow up time points,,,,,,,,,,Yes
3,Composite outcome at the 4 further follow up time points,,,,,,,,,,Yes
4,Composite outcome at the 4 further follow up time points,,,,,,,,,,Yes
5,"Device-oriented combined endpoint of cardiac death, target vessel myocardial infarction, or target lesion revascularisation [Time Frame: at 1 year and yearly up to 5 years]",,,,,,,,,,Yes
6,"Device-oriented combined endpoint of cardiac death, target vessel myocardial infarction, or target lesion revascularisation [Time Frame: at 1 year and yearly up to 5 years]",,,,,,,,,,Yes
7,"Device-oriented combined endpoint of cardiac death, target vessel myocardial infarction, or target lesion revascularisation [Time Frame: at 1 year and yearly up to 5 years]",,,,,,,,,,Yes
8,"Device-oriented combined endpoint of cardiac death, target vessel myocardial infarction, or target lesion revascularisation [Time Frame: at 1 year and yearly up to 5 years]",,,,,,,,,,Yes
9,"Device-oriented combined endpoint of cardiac death, target vessel myocardial infarction, or target lesion revascularisation [Time Frame: at 1 year and yearly up to 5 years]",,,,,,,,,,Yes
10,Vascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
11,Vascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
12,Vascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
13,Vascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
14,Vascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
15,Non-cardiovascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
16,Non-cardiovascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
17,Non-cardiovascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
18,Non-cardiovascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
19,Non-cardiovascular mortality [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
20,Target vessel related myocardial infarction  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
21,Target vessel related myocardial infarction  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
22,Target vessel related myocardial infarction  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
23,Target vessel related myocardial infarction  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
24,Target vessel related myocardial infarction  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
25,Non-target vessel related myocardial infarction [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
26,Non-target vessel related myocardial infarction [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
27,Non-target vessel related myocardial infarction [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
28,Non-target vessel related myocardial infarction [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
29,Non-target vessel related myocardial infarction [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
30,Overall revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
31,Overall revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
32,Overall revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
33,Overall revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
34,Overall revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
35,Non-target vessel revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
36,Non-target vessel revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
37,Non-target vessel revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
38,Non-target vessel revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
39,Non-target vessel revascularisation [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
40,Definite or probable stent thrombosis  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
41,Definite or probable stent thrombosis  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
42,Definite or probable stent thrombosis  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
43,Definite or probable stent thrombosis  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
44,Definite or probable stent thrombosis  [Time Frame: at 1 year and yearly up to 5 years],,,,,,,,,,Yes
45,Combined endpoint of all-cause death or definite stent thrombosis,,,,,,,,,,Yes
46,Combined endpoint of all-cause death or deifnite or probable stent thrombosis,,,,,,,,,,Yes
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
,,,,,,,,,,,
Total,46,,,,,,TOTALS,,,,46
,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,
