Trial Info,,,,,,,,,,,,
Week,1,,,,,,,,,,,
Study ID,5,,,,,,,,,,,
Journal name,Ann Intern Med.,,,,,,,,,,,
Trial Title,"Effects of Initiating Moderate Alcohol Intake on Cardiometabolic Risk in Adults With Type 2 Diabetes: A 2-Year Randomized, Controlled Trial",,,,,,,,,,,
Trial Link,http://annals.org/article.aspx?articleid=2456121,,,,,,,,,,,
Publication date,13/10/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/record/NCT00784433?term=NCT00784433&rank=1,,,,,,,,,,,
Registry ID,NCT00784433,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication,Insufficiently prespecified
1,Glycaemic Control (assuming this is HbA1c) (6 months),,,,,,,No,Yes,No,No,Yes
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,0,1,0,0,1
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication,Insufficiently prespecified
1,CVD status (6 months),,,,,,,No,No,No,,Yes
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,,,,,
,,,,,,,,0,0,0,0,1
Non-prespecified outcome in publication table,,,,,,,,Correctly reported as non-pre-specified in table?,,,Not reported,
1,HDL-C level,,,,,,,No,,,Yes,
2,Apolipoprotein (a)1 level,,,,,,,No,,,Yes,
3,Total Cholesterol - HDL-C ratio,,,,,,,No,,,Yes,
4,Apolipoprotein (b)100 -apolipoprotein(a)1 ratio,,,,,,,No,,,Yes,
5,Triglyceride level,,,,,,,No,,,Yes,
6,LDL-C level,,,,,,,No,,,Yes,
7,Apolipoprotein(b)100 leve,,,,,,,No,,,Yes,
8,Fasting insulin level,,,,,,,No,,,Yes,
9,Systolic BP,,,,,,,No,,,Yes,
10,Diastolic BP,,,,,,,No,,,Yes,
11,Waist Circumference,,,,,,,No,,,Yes,
12,Weight,,,,,,,No,,,Yes,
13,HOMA-IR score,,,,,,,No,,,Yes,
14,FPG,,,,,,,No,,,Yes,
,,,,,,,,,,,,
Total,14,,,,,,TOTALS,0,,,14,
