Trial Info,,,,,,,,,,,
Week,26/10/2015,,,,,,,,,,
Study ID,16,,,,,,,,,,
Journal name,JAMA,,,,,,,,,,
Trial Title,Anticholinergic vs Long-Acting Î²-Agonist in Combination With Inhaled Corticosteroids in Black Adults With Asthma - The BELT Randomized Clinical Trial,,,,,,,,,,
Trial Link,http://jama.jamanetwork.com/article.aspx?articleid=2466145,,,,,,,,,,
Publication date,27/10/2015,,,,,,,,,,
Registry link,https://clinicaltrials.gov/archive/NCT01290874/2011_02_04,,,,,,,,,,
Registry ID,NCT01290874,,,,,,,,,,
"Protocol link, if available",http://jama.jamanetwork.com/data/Journals/JAMA/934616/JOI150124supp1_prod.pdf,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Rate of Exacerbations [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,No,No,Yes,No
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,,,1,
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Patient-reported outcomes (Asthma Quality of Life) [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,Yes,,,
2,Patient-reported outcomes ( Asthma Control) [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,Yes,,,
3,Patient-reported outcomes (Asthma symptom Utility index) [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,Yes,,,
4,Patient-reported outcomes (Symptom Free Days) [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,Yes,,,
5,"Spirometry (FEV1) [Time Frame: evaluated Visits 1-4 (weeks 0, 4, 26, 52)]",,,,,,,Yes,,,
6,"Spirometry (FEV1) [Time Frame: evaluated Visits 1-4 (weeks 0, 4, 26, 52)]",,,,,,,Yes,,,
7,"Spirometry (FEV1) [Time Frame: evaluated Visits 1-4 (weeks 0, 4, 26, 52)]",,,,,,,Yes,,,
8,"Spirometry (FEV1) [Time Frame: evaluated Visits 1-4 (weeks 0, 4, 26, 52)]",,,,,,,Yes,,,
9,Rescue Medication Use [Time Frame: evaluated monthly (on average) via questionnaire for 12 months],,,,,,,Yes,,,
10,"Moderate Asthma Deterioration [Time Frame: evaluated monthly (on average) via questionnaire for 12 months] The definition of a moderate asthma deterioration should include one or more of the following: deterioration in symptoms, deterioration in lung function, or increased rescue bronchodilator use. These features should last for 2 days or more, but not be severe enough to warrant systemic corticosteroid use and/or hospitalization.",,,,,,,Yes,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,10,,,,,,TOTALS,10,,,
,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported
1,Time to first exacerbation,,,,,,,No,,,Yes
2,Asthma exacerbation stratified by ADRB2 Arg16Gly allele,,,,,,,No,,,Yes
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,2,,,,,,TOTALS,,,,
,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,
"They have changed their primary outcomes in their most recent protocol version (no earlier versions available), but not updated the registry entry.",,,,,,,,,,,
"There is only a demographic table, trial outcome measures are spread over Figures 2 & 3",,,,,,,,,,,
"They also report adverse events as a secondary outcome, but this is not reported with the other outcome measures (it is reported in free text).",,,,,,,,,,,
