Trial Info,,,,,,,,,,,
Week,19/10/2015,,,,,,,,,,
Study ID,4,,,,,,,,,,
Journal name,JAMA,,,,,,,,,,
Trial Title,"Naproxen With Cyclobenzaprine, Oxycodone/Acetaminophen, or Placebo for Treating Acute Low Back Pain",,,,,,,,,,
Trial Link,http://jama.jamanetwork.com/article.aspx?articleid=2463257,,,,,,,,,,
Publication date,20/10/2015,,,,,,,,,,
Registry link,https://clinicaltrials.gov/show/NCT01587274,,,,,,,,,,
Registry ID,NCT01587274,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication
1,Roland Morris low back pain functional disability scale [ Time Frame: 7 days after ER discharge ] [ Designated as safety issue: No ],,,,,,,Yes,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,0,0,0
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,0,,,,,,TOTALS,0,0,0,0
,,,,,,,,,,,
Non-prespecified outcome in publication table,,,,,,,,Correctly reported as non-pre-specified in table?,,,Not reported
1,Worst LBP during previous 24 h,,,,,,,Yes,,,
2,Frequency of LBP during previous 24 h,,,,,,,Yes,,,
3,Use of medication for LBP during the 24 h prior to 1 week follow-up,,,,,,,Yes,,,
4,Desires same medications during subsequent episode of LBP,,,,,,,Yes,,,
5,No. of days to return to usual activities/work,,,,,,,Yes,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,5,,,,,,TOTALS,,,5,0
