Trial Info,,,,,,,,,,,,
Week,4,,,,,,,,,,,
Study ID,Trial 039,,,,,,,,,,,
Journal name,NEJM,,,,,,,,,,,
Trial Title,ABSORB III,,,,,,,,,,,
Trial Link,http://www.nejm.org/doi/pdf/10.1056/NEJMoa1509038,,,,,,,,,,,
Publication date,12/10/2015,,,,,,,,,,,
Registry link,"https://clinicaltrials.gov/ct2/show/NCT01751906?term=NCT01751906&rank=1,https://clinicaltrials.gov/ct2/show/NCT02173379?term=NCT01751906&rank=2",,,,,,,,,,,
Registry ID,NCT1751906,,,,,,,,,,,
"Protocol link, if available",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"TLF is defined as composite of Cardiac Death, Myocardial Infarction (MI) attributable to Target Vessel (TV-MI), or Ischemia-Driven Target Lesion Revascularization (ID-TLR) at 1 year",,,,,,,Yes,,,,
2,"
",,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,,TOTALS,1,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Device success,,,,,,,Yes,,,,
2,Procedural success ,,,,,,,Yes,,,,
3,"Death (cardiac, vascular, non-cardiovascular)1year",,,,,,,Yes,,,,
4,Death: cardiac,1year,,,,,,Yes,,,,
5,Death: vascular,1year,,,,,,No,,,Yes,
6,Death: non-cardiovascular,,1year,,,,,No,,,Yes,
7,Myocardial Infarction (MI: QMI and NQMI per Modified ARC definition),,,,1year,,,Yes,,,,
8,MI: QMI,1year,,,,,,Yes,,,,
9,MI: NQMI,1year,,,,,,Yes,,,,
10,Attributable to target vessel (TV-MI),,1year,,,,,Yes,,,,
11,Not attributable to target vessel (NTV-MI),,1year,,,,,No,,,Yes,
12,"Target Lesion Revascularization (TLR, per ARC definition)",,,,1year,,,No,,,Yes,
13,Clinically-indicated TLR (CI-TLR),,1year,,,,,Yes,,,,
14,Not clinically-indicated TLR (NCI-TLR),,1year,,,,,Yes,,,,
15,"Target Vessel Revascularization (TVR, per ARC definition)",,,,1year,,,No,,,Yes,
16,Clinically-indicated TVR (CI-TVR),,1year,,,,,Yes,,,,
17,Not clinically-indicated TVR (NCI-TVR),,1year,,,,,Yes,,,,
18,All coronary revascularization,,1year,,,,,Yes,,,,
19,Composite: Death/All MI,,1year,,,,,No,,,Yes,
20,Composite: Cardiac Death/TV-MI/CI-TLR (TLF),,,1year,,,,No,,,Yes,
21,Composite: Death/All MI/All revascularization,,,1year,,,,No,,,Yes,
22,"Composite: Cardiac Death, all MI, CI-TLR, CI-TVR, non-target lesion",,,,1year,,,No,,,Yes,
23,"Scaffold/stent thrombosis: Timing (acute, sub-acute, late and very late)",,,,1year,,,No,,,Yes,
24,Scaffold/stent thrombosis: acute,,1year,,,,,No,,,Yes,
25,Scaffold/stent thrombosis: sub-acute,,1year,,,,,No,,,Yes,
26,Scaffold/stent thrombosis: late,,1year,,,,,No,,,Yes,
27,"Scaffold/stent thrombosis: Evidence (Definite, Probable and Possible)",,,,1year,,,Yes,,,,
28,Scaffold/stent thrombosis: Probable,,1year,,,,,Yes,,,,
29,Scaffold/stent thrombosis: Possible,,1year,,,,,No,,,Yes,
