Trial Info,,,,,,,,,,,,
Week,02/11/2015,,,,,,,,,,,
Study ID,26,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,Early combined immunosuppression for the management of Crohn's disease (REACT): a cluster randomised controlled trial,,,,,,,,,,,
Trial Link,http://www.sciencedirect.com/science/article/pii/S0140673615000689,,,,,,,,,,,
Publication date,07/11/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/archive/NCT01030809/2010_01_28,,,,,,,,,,,
Registry ID,NCT01030809,,,,,,,,,,,
"Protocol link, if available",https://www.robartsinc.com/wp-content/uploads/2015/09/RP0901-PRT-V2.0-REACT-20110207.pdf,(note: published after trial commencement),,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Proportion of patients in remission at the end of the 12 month followup period. Remission is defined as a HBS< or = 4 without use of steroids for the treatment of CD. the primary analysis will be performed at the level of the practice. [ Time Frame: 12 months ],,,,,,,No,No,Yes,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,,,1,,
,,,,,,,,,,(considered as correctly reported in tracking document),,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Proportion of patients in remission over study [ Time Frame: 12 months ],,,,,,,Yes,,,,
2,Change in mean HBS [ Time Frame: 12 months ],,,,,,,No,No,Yes,,
3,Use of CD meds [ Time Frame: 12 months ],,,,,,,Yes,,,,
4,Occurrence of surgery/hospitalization for CD and complications [ Time Frame: 12 months ],,,,,,,Yes,,,,
5,Patients' health related QOL measured by SF-36 & EQ-5D [ Time Frame: 12 months ],,,,,,,No,No,Yes,,
6,Physician/patient satisfaction with therapy [ Time Frame: 12 months ],,,,,,,No,No,Yes,,Yes
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,6,,,,,,TOTALS,3,,3,,
,,,,,,,,,,(considered as incorrectly reported in tracking document as not provided with other secondary outcomes),,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported,
1,mean proportion of patients in remission at months 6,,,,,,,,,,Yes,
2,differences in mean HBI scores at months 6,,,,,,,,,,Yes,
3,mean proportion of patients in remission at months 18,,,,,,,,,,Yes,
4,differences in mean HBI scores at months 18,,,,,,,,,,Yes,
5,mean proportion of patients in remission at months 24,,,,,,,,,,Yes,
6,differences in mean HBI scores at months 24,,,,,,,,,,Yes,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,6,,,,,,TOTALS,,,,2,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
"General point: Should we add a ""correctly reported elsewhere"" column?",,,,,,,,,,,,
