Trial Info,,,,,,,,,,,,
Week,02/11/1983,,,,,,,,,,,
Study ID,34,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,Sustained efficacy of pulmonary artery pressure to guide adjustment of chronic heart failure therapy: complete follow-up results from the CHAMPION randomised trial,,,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00723-0/abstract,,,,,,,,,,,
Publication date,Published online November 09 2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/show/NCT00531661,,,,,,,,,,,
Registry ID,NCT00531661,,,,,,,,,,,
"Protocol link, if available",http://www.onlinejcf.com/article/S1071-9164(10)01049-3/abstract,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,0,,,,,,TOTALS,,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,0,,,,,,TOTALS,,,,,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-prespecified,
1,Admission to hospital for heart failure,,,,,,,No,,,Yes,
2,Death and admission to hospital for heart failure,,,,,,,No,,,Yes,
3,Death ,,,,,,,No,,,Yes,
4,Death or first admission to hospital for heart failure,,,,,,,No,,,Yes,
5,All-cause admissions to hospital,,,,,,,No,,,Yes,
6,Deaths and all-cause admissions to hospital,,,,,,,No,,,Yes,
7,Medication changes over time,,,,,,,No,,,Yes,
8,Quality of life measured by MLHFQ at 12 months,,,,,,,No,,,Yes,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,8,,,,,,TOTALS,0,,,8,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
Outcomes not pre-specified in trial registry until after completion of trial,,,,,,,,,,,,
Protocol published after randomisation phase of trial was completed,,,,,,,,,,,,
Follow up data reported in separate paper after the addition of outcomes to the trial registry,,,,,,,,,,,,
