Trial Info,,,,,,,,,,,,
Week,4,,,,,,,,,,,
Study ID,40,,,,,,,,,,,
Journal name,JAMA,,,,,,,,,,,
Trial Title,"Effect of Financial Incentives to Physicians, Patients, or Both on Lipid Levels",,,,,,,,,,,
Trial Link,http://jama.jamanetwork.com/article.aspx?articleid=2468891,,,,,,,,,,,
Publication date,10/11/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/NCT01346189?term=NCT01346189&rank=1,,,,,,,,,,,
Registry ID,NCT01346189,,,,,,,,,,,
"Protocol link, if available",http://jama.jamanetwork.com/data/Journals/JAMA/934661/JOI150135supp1_prod.pdf,"Note: no date given for protocol publication, but original version is provided ",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Change in LDL cholesterol at 12 months relative to baseline for patient incentives compared to usual care,,,,,,,Yes,,,,
2,Change in LDL cholesterol at 12 months relative to baseline for physician incentives compared to usual care,,,,,,,Yes,,,,
3,Change in LDL cholesterol at 12 months relative to baseline for shared patient and physician incentives compared to usual care,,,,,,,Yes,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,3,,,,,,TOTALS,3,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Change in LDL cholesterol at 15 months relative to baseline for patient incentives compared to usual care,,,,,,,No,,,Yes,
2,Change in LDL cholesterol at 15 months relative to baseline for physician incentives compared to usual care,,,,,,,No,,,Yes,
3,Change in LDL cholesterol at 15 months relative to baseline for shared patient and physician incentives compared to usual care,,,,,,,No,,,Yes,
4,Change in HBA1c at 12 months relative to baseline for patient incentives compared to usual care for diabetics only,,,,,,,No,,,Yes,
5,Change in HBA1c at 12 months relative to baseline forÂ physician incentives compared to usual care for diabetics only,,,,,,,No,,,Yes,
6,Change in HBA1c at 12 months relative to baseline forÂ shared patient and physicianÂ incentives compared to usual care for diabetics only,,,,,,,No,,,Yes,
7,AdherenceÂ measured using GlowCaps at 12 months relative to baseline for patient incentives compared to usual care,,,,,,,Yes,,,,
8,AdherenceÂ measured using GlowCaps at 12 months relative to baseline for physician incentives compared to usual care ,,,,,,,Yes,,,,
9,AdherenceÂ measured using GlowCaps 12 months relative to baseline for shared patient and physician incentives compared to usual care for diabetics only,,,,,,,Yes,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,9,,,,,,TOTALS,3,,,6,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-prespecified,
1,Achievement of LDL-c goalÂ at 12 months relative to baseline for patient incentives compared to usual care,,,,,,,No,,,Yes,
2,Achievement of LDL-c goalÂ at 12 months relative to baseline for physician incentives compared to usual care,,,,,,,No,,,Yes,
3,Achievement of LDL-c goalÂ at 12 months relative to baseline for shared patient and physicianÂ incentives compared to usual care,,,,,,,No,,,Yes,
4,Medication intensificationÂ at 12 months relative to baseline for patient incentives compared to usual care,,,,,,,No,,,Yes,
5,Medication intensification at 12 months relative to baseline for physician incentives compared to usual care,,,,,,,No,,,Yes,
6,Medication intensification at 12 months relative to baseline for shared patient and physician incentives compared to usual care,,,,,,,No,,,Yes,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,6,,,,,,TOTALS,0,,,6,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
