Trial Info,,"Note: Following a critical later review from the second coder, subsequently reviewed at a further team meeting, we concluded that the original assessment and letter sent for this trial were inappropriately generous, and that there were many more prespecified outcomes that were not reported. No further letter was sent, as NEJM have rejected all letters. The original letter is posted on COMPare site. This assessment sheet therefore reflects the final coding.",,,,,,,,,,
Week,5,,,,,,,,,,,
Study ID,53,,,,,,,,,,,
Journal name,NEJM,,,,,,,,,,,
Trial Title,Polymer-free Drug-Coated Coronary Stents in Patients at High Bleeding Risk,,,,,,,,,,,
Trial Link,http://www.nejm.org/doi/pdf/10.1056/NEJMoa1503943,,,,,,,,,,,
Publication date,14/10/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/NCT01623180?term=NCT01623180&rank=1,,,,,,,,,,,
Registry ID, NCT01623180,,,,,,,,,,,
"Protocol link, if available",http://www.nejm.org/doi/suppl/10.1056/NEJMoa1503943/suppl_file/nejmoa1503943_protocol.pdf,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"composite of cardiac death, myocardial infarction and definite/probable stent thrombosis at one year",,,,,,,Yes,,,,
2, incidence of clinically driven target lesion revascularization at one year,,,,,,,Yes,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,2,,,,,,TOTALS,2,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,"At all protocol defined follow-up time points (1, 2 and 4 months and 1 and 2 years) unless otherwise indicated",,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
,Primary endpoints at 2 years: NOT CODED HERE AS 2 YRS NOT YET PASSED,,,,,,,,,,,
1,Bleeding per BARC criteria 3-5 12 months,,,,,,,Yes,,,,
2,Bleeding per BARC criteria 3-5 1 month,,,,,,,,,,Yes,
3,Bleeding per BARC criteria 3-5 2 months,,,,,,,,,,Yes,
4,Bleeding per BARC criteria 3-5 4 months,,,,,,,,,,Yes,
5,Bleeding per BARC criteria all 12 months,,,,,,,Yes,,,,
6,Bleeding per BARC criteria allÂ 1 months,,,,,,,,,,Yes,
7,Bleeding per BARC criteria all 2 months,,,,,,,,,,Yes,
8,Bleeding per BARC criteria all 4 months,,,,,,,,,,Yes,
9,BARC by vascular access site (/radial) 12 months,,,,,,,,,,Yes,
10,BARC by vascular access site (radial) 1 month,,,,,,,,,,Yes,
11,BARC by vascular access site (/radial) 2 months,,,,,,,,,,Yes,
12,BARC by vascular access site (/radial) 4 months,,,,,,,,,,Yes,
13,BARC by vascular access site (femoral) 12 months,,,,,,,,,,Yes,
14,BARC by vascular access site (femoral) 1 month,,,,,,,,,,Yes,
15,BARC by vascular access site (femoral) 2 months,,,,,,,,,,Yes,
16,BARC by vascular access site (femoral) 4 months,,,,,,,,,,Yes,
17, Cardiac Death 12 months,,,,,,,Yes,,,,
18, Cardiac Death 1 month,,,,,,,,,,Yes,
19, Cardiac Death 2 months,,,,,,,,,,Yes,
20, Cardiac Death 4 months,,,,,,,,,,Yes,
21,MI Q-wave 12 months,,,,,,,Yes,,,,
22,MI Q-wave 1 month,,,,,,,,,,Yes,
23,MI Q-wave 2 months,,,,,,,,,,Yes,
24,MI Q-wave 4 months,,,,,,,,,,Yes,
25,MI non Q-wave 12 months,,,,,,,Yes,,,,
26,MI non Q-wave 1 month,,,,,,,,,,Yes,
27,MI non Q-wave 2 months,,,,,,,,,,Yes,
28,MI non Q-wave 4 months,,,,,,,,,,Yes,
29,All MI 12 months,,,,,,,Yes,,,,
30,All MI 1 month,,,,,,,,,,Yes,
31,All MI 2 months,,,,,,,,,,Yes,
32,All MI 4 months,,,,,,,,,,Yes,
33,"Stent Thrombosis, per ARC definition of definite and probable 12 months",,,,,,,,,,Yes,
34,"Stent Thrombosis, per ARC definition of definite and probable 1 month",,,,,,,,,,Yes,
35,"Stent Thrombosis, per ARC definition of definite and probable 2 months",,,,,,,,,,Yes,
36,"Stent Thrombosis, per ARC definition of definite and probable 4 months",,,,,,,,,,Yes,
37,Stent Thrombosis per ARC definition Definite Probable andÂ Possible 12 months,,,,,,,,,,Yes,
38,Stent Thrombosis per ARC definition Definite Probable and Possible 1 month,,,,,,,,,,Yes,
39,Stent Thrombosis per ARC definition Definite Probable andÂ Possible 2 months,,,,,,,,,,Yes,
40,Stent Thrombosis per ARC definition Definite Probable andÂ Possible 4 months,,,,,,,,,,Yes,
41,Stent Thrombosis per ARC definition definite,,,,,,,Yes,,,,
42,Stent Thrombosis per ARC definition definite,,,,,,,,,,Yes,
43,Stent Thrombosis per ARC definition definite,,,,,,,,,,Yes,
44,Stent Thrombosis per ARC definition definite,,,,,,,,,,Yes,
45,Urgent TLR ,,,,,,,Yes,,,,
46,Urgent TLR ,,,,,,,,,,Yes,
47,Urgent TLR ,,,,,,,,,,Yes,
48,Urgent TLR ,,,,,,,,,,Yes,
49, All cause mortality ,,,,,,,Yes,,,,
50, All cause mortality ,,,,,,,,,,Yes,
51, All cause mortality ,,,,,,,,,,Yes,
52, All cause mortality ,,,,,,,,,,Yes,
53, Clinically driven TLR at times points other than the primary endpoint 1 month,,,,,,,Yes,,,,
54, Clinically driven TLR at times points other than the primary endpointÂ  2 months,,,,,,,Yes,,,,
55, Clinically driven TLR at times points other than the primary endpoint 4 months,,,,,,,Yes,,,,
56,Clinically driven target vessel revascularization,,,,,,,Yes,,,,
57,Clinically driven target vessel revascularization,,,,,,,,,,Yes,
58,Clinically driven target vessel revascularization,,,,,,,,,,Yes,
59,Clinically driven target vessel revascularization,,,,,,,,,,Yes,
60, Cost effectiveness (1 and 2 years) ,,,,,,,,,,Yes,
61,Quality of Life (1 year) ,,,,,,,,,,Yes,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,61,,,,,,TOTALS,13,,,48,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified?,,,Not declared as non-prespecified,
1,BARC 2-5,,,,,,,,,,Yes,
2,Late Thrombosis,,,,,,,,,,Yes,
3,Acute thrombosis,,,,,,,,,,Yes,
4,Subacute thrombosis,,,,,,,,,,Yes,
5,Acute + Subacute thrombosis (early),,,,,,,,,,Yes,
6,Stent Thrombosis per ARC definition possible,,,,,,,,,,,
7,Any TLR,,,,,,,,,,Yes,
8,Any TVR,,,,,,,,,,Yes,
9,TVR by CABG,,,,,,,,,,Yes,
10,Any revascularisation,,,,,,,,,,Yes,
,,,,,,,,,,,,
,"NOT CODED they added ""undetermined type"" MI which is reasonable",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,10,,,,,,TOTALS,,,,9,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
