Trial Info,,,,,,,,,,,,
Week,4,,,,,,,,,,,
Study ID,Trial 038,,,,,,,,,,,
Journal name,NEJM,,,,,,,,,,,
Trial Title,A Study in Older Subjects to Evaluate the Safety and Ability of Andexanet Alfa to Reverse the Anticoagulation Effect of Apixaban or Rivaroxiban,,,,,,,,,,,
Trial Link,http://www.nejm.org/doi/pdf/10.1056/NEJMoa1510991,,,,,,,,,,,
Publication date,11/11/2015,,,,,,,,,,,
Registry link,"https://clinicaltrials.gov/ct2/show/NCT02207725?term=NCT02207725&rank=1  ,  https://clinicaltrials.gov/ct2/show/NCT02220725?term=NCT02220725&rank=1",,,,,,,,,,,
Registry ID,NCT02207725,NCT02220725,,,,,,,,,,
"Protocol link, if available",http://www.nejm.org/doi/suppl/10.1056/NEJMoa1510991/suppl_file/nejmoa1510991_protocol.pdf,,,, ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"The percent change from baseline in anti fXa activity at its nadir, where nadir is defined as the smallest value for anti fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (Rivaroxiban bolus)",,,,,,,Yes,,,,
2,"The percent change from baseline in anti fXa activity at its nadir, where nadir is defined as the smallest value for anti fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (Rivaroxiban bolus + infusion)",,,,,,,Yes,,,,
3,"The percent change from baseline in anti fXa activity at its nadir, where nadir is defined as the smallest value for anti fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (Apixaban bolus)",,,,,,,Yes,,,,
4,"The percent change from baseline in anti fXa activity at its nadir, where nadir is defined as the smallest value for anti fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (Apixaban bolus + infusion)",,,,,,,Yes,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,4,,,,,,TOTALS,4,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"The occurrence of â¥80% reduction in anti fXa activity from its baseline to nadir, where nadir is defined as the smallest value for anti-fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (apixaban bolus)",,,,,,,no,,yes,,
2,"The change from baseline in free apixaban concentration (ng/ml) at nadir, where nadir is defined as the as the smallest value for free apixaban concentration at the +2 minute or +5 minute time point after the completion of the andexanet bolus (Apixaban bolus)",,,,,,,Yes,,,,
3,"The change in thrombin generation from baseline to its peak, where peak is defined as the largest value for thrombin generation between the +2 minute time point and the +10 minute time point after the end of the andexanet bolus (apixaban bolus)",,,,,,,Yes,,,,
4,"The occurrence of thrombin generation above the lower limit of the normal range at its peak, between the +2 minute time point and the +10 minute time point after the end of the andexanet bolus (apixaban bolus)",,,,,,,no,,yes,,
5,"The occurrence of â¥80% reduction in anti fXa activity from its baseline to nadir, where nadir is defined as the smallest value for anti-fXa activity at the +2 minute or +5 minute time point after the completion of the andexanet bolus (apixaban bolus and infusion)",,,,,,,no,,yes,,
6,"The change from baseline in free apixaban concentration (ng/ml) at nadir, where nadir is defined as the as the smallest value for free apixaban concentration at the +2 minute or +5 minute time point after the completion of the andexanet bolus. (apixaban bolus and infusion)",,,,,,,Yes,,,,
