Trial Info,,,,,,,,,,,,
Week,16/11/2015,,,,,,,,,,,
Study ID,55,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,Extended pre-exposure prophylaxis with lopinavirâritonavir versus lamivudine to prevent HIV-1 transmission through breastfeeding up to 50 weeks in infants in Africa (ANRS 12174): a randomised controlled trial,,,,,,,,,,,
Trial Link,http://www.sciencedirect.com/science/article/pii/S0140673615009848,,,,,,,,,,,
Publication date,19/11/2015,,,,,,,,,,,
Registry link,http://clinicaltrials.gov/show/NCT00640263,,,,,,,,,,,
Registry ID,NCT00640263,,,,,,,,,,,
"Protocol link, if available",http://www.biomedcentral.com/1471-2334/12/246,Note: received nearly two and published nearly three years after trial commencement,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Acquisition of HIV-1 (as determined by HIV-1 DNA PCR) [ Time Frame: between day 7 and 50 weeks of age ],,,,,,,Yes,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,HIV-1 free survival [ Time Frame: at 50 weeks of age ],,,,,,,Yes,,,,
2,HIV-1 free survival [ Time Frame: at one year of age ],,,,,,,No,,,Yes,
3,safety of long-term prophylaxis [ Time Frame: until 50 weeks of age ],,,,,,,Yes,,,,
4,safety of long-term prophylaxis [ Time Frame: until one year of age ],,,,,,,No,,,Yes,
,,,,,,,,,,,,
Total,2,,,,,,TOTALS,2,,,,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified?,,,Not declared as non-prespecified,
1,I do not feel it is unreasonable to have included mortality data and adverse event types as additional information.,,,,,,,,,,,
,,,,,,,,,,,,
Total,,,,,,,TOTALS,,,,,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
Outcome time points were originally 38 weeks and one year. These were changed (prior to trial commencement) to 50 weeks and one year. The last clinic visit in this report was at 50 weeks. I feel it was an oversight that the one year time point remained in the registry.,,,,,,,,,,,,
