Trial Info,,,,,,,,,,,,
Week,09/11/2015,,,,,,,,,,,
Study ID,46,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,Immediate delivery compared with expectant management after preterm pre-labour rupture of the membranes close to term (PPROMT trial): a randomised controlled trial,,,,,,,,,,,
Trial Link,http://www.sciencedirect.com/science/article/pii/S0140673615007242/pdfft?md5=2e8b9689745d9c5968bc997c45d2fe92&pid=1-s2.0-S0140673615007242-main.pdf,,,,,,,,,,,
Publication date,10/11/2015,,,,,,,,,,,
Registry link,http://www.isrctn.com/ISRCTN44485060,,,,,,,,,,,
Registry ID,ISRCTN44485060,Last edited 16/11/2015,,,,,,,,,,
"Protocol link, if available",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1464097/,"Note, published two years after trial commencement",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Incidence of neonatal sepsis. Sepsis will be classified as either definite or probable by an adjudication committee who will be unaware of the allocation group,,,,,,,Yes,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Infant: Respiratory distress,,,,,,,Yes,,,,
2,Perinatal mortality,,,,,,,No,,Yes,,
3,Duration of stay in a neonatal intensive or special care unit,,,,,,,Yes,,,,
4,Duration of stay in hospital,,,,,,,Yes,,,,
5,Birth weight,,,,,,,Yes,,,,
6,Apgar score at 5 minutes,,,,,,,No,,,Yes,
7,Any assisted ventilation,,,,,,,Yes,,,,
8,Early infant development as measured by the women at four months (corrected age) using the ages for stages questionnaire,,,,,,,No,,,Yes,
9,"Maternal, antepartum: Chorioamnionitis",,,,,,,No,,Yes,,
10,Antepartum haemorrhage,,,,,,,No,,Yes,,
11,Thrombosis/thormboembolism,,,,,,,Yes,,,,
12,Cord prolapse,,,,,,,Yes,,,,
13,Treatment with antibiotics,,,,,,,No,,Yes,,
14,Laboratory tests,,,,,,,No,,,Yes,
15,Fetal well-being investigations,,,,,,,No,,,Yes,
16,Duration of hospitalisation,,,,,,,No,,,Yes,
17,"Maternal, intrapartum: induction of labour",,,,,,,No,,Yes,,
18,failed induction of labour,,,,,,,No,,,Yes,
19,caesarean section,,,,,,,Yes,,,,
20,assisted vaginal delivery,,,,,,,No,,,Yes,
21,intrapartum bleeding or intrapartum fever,,,,,,,No,,,Yes,
22,treatment with antibiotics,,,,,,,No,,,Yes,
23,"Maternal, postpartum: postpartum infection treated with antibiotics",,,,,,,Yes,,,,
24,Thrombosis/thromboembolism,,,,,,,Yes,,,,
25,Duration of hospitalisation,,,,,,,No,,,Yes,
26,Initiation of breast feeding,,,,,,,Yes,,,,
27,Maternal satisfaction with care [four months postpartum using self-report questionnaires],,,,,,,No,,,Yes,
28,Maternal wellbeing [four months postpartum using self-report questionnaires],,,,,,,No,,,Yes,
29,Anxiety (state component of the short Spielberger anxiety scale) [four months postpartum using self-report questionnaires],,,,,,,No,,,Yes,
30,Postnatal depression (Edinburgh Postnatal Depression Scale) [four months postpartum using self-report questionnaires],,,,,,,No,,,Yes,
31,Duration of breast feeding [four months postpartum using self-report questionnaires],,,,,,,No,,,Yes,
32,Maternal wellbing (SF36 Health Survey Questionnaire) - single item measure,,,,,,,No,,,Yes,
33,SF36 Physical component summary,,,,,,,No,,,Yes,
34,SF36 Mental Component Summary,,,,,,,No,,,Yes,
,,,,,,,,,,,,
Total,34,,,,,,TOTALS,11,,5,18,
,,,,,,,,,,,,
