Trial Info,,,,,,,,,,,,
Week,02/11/2015,,,,,,,,,,,
Study ID,29,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,Sensitivity and specificity of mammography and adjunctive ultrasonography to screen for breast cancer in the Japan Strategic Anti-cancer Randomized Trial (J-START): a randomised controlled trial,,,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00774-6/abstract,,,,,,,,,,,
Publication date,November 05 2015 (Published online),,,,,,,,,,,
Registry link,https://upload.umin.ac.jp/cgi-open-bin/ctr/ctr.cgi?function=brows&action=brows&type=summary&recptno=R000000910&language=E%E3%80%80,,,,,,,,,,,
Registry ID,UMIN000000757 (University Medical Information Network - Japan),,,,,,,,,,,
"Protocol link, if available",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Sensitivity of breast cancer detection,,,,,,,Yes,No,No,No,Yes
2,Specifity of breast cancer detection,,,,,,,Yes,No,No,No,Yes
3,Rate of breast cancer detection,,,,,,,Yes,No,No,No,Yes
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,3,,,,,,TOTALS,3,0,0,0,3
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Accumulated incidence rate of advanced breast cancer,,,,,,,No,No,No,Yes,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,,,,1,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported,
1,Percentage of positive clinical stage 0 breast cancers in intervention group,,,,,,,No,,,Yes,
2,Percentage of positive clinical stage 0 breast cancers in control group,,,,,,,No,,,Yes,
3,Percentage of positive clinical stage I breast cancers in intervention group,,,,,,,No,,,Yes,
4,Percentage of positive clinical stage I breast cancers in control group                                                ,,,,,,,No,,,Yes,
5,Percentage of positive clinical stage II breast cancers in intervention group,,,,,,,No,,,Yes,
6,Percentage of positive clinical stage II breast cancers in control group,,,,,,,No,,,Yes,
7,Percentage of positive clinical stage III or IV breast cancers in intervention group,,,,,,,No,,,Yes,
8,Percentage of positive clinical stage III or IV breast cancers in control group                                                ,,,,,,,No,,,Yes,
9,Relative sensitivity of detection of clinical stage 0 breast cancers using US/MG,,,,,,,No,,,Yes,
10,Relative sensitivity of detection of clinical stage 0 breast cancers using CBE/MG,,,,,,,No,,,Yes,
11,Relative sensitivity of detection of clinical stage I breast cancers using US/MG,,,,,,,No,,,Yes,
12,Relative sensitivity of detection of clinical stage I breast cancers using CBE/MG,,,,,,,No,,,Yes,
13,Relative sensitivity of detection of clinical stage II breast cancers using US/MG,,,,,,,No,,,Yes,
14,Relative sensitivity of detection of clinical stageII breast cancers using CBE/MG,,,,,,,No,,,Yes,
15,Relative sensitivity of detection of clinical stage III or IV breast cancers using US/MG,,,,,,,No,,,Yes,
16,Relative sensitivity of detection of clinical stage III or IV breast cancers using CBE/MG,,,,,,,No,,,Yes,
,,,,,,,,,,,,
Total,16,,,,,,TOTALS,0,,,16,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
Registry did not specificy +/- clinical breast examination (CBE). All data for primary outcome is a composite of defined intervention or control +/- CBE.,,,,,,,,,,,,
Table 2 - CBE was not pre-specified as a component of the intervention. There were several sub-group analyses that were not pre-specified.,,,,,,,,,,,,
"Table 3 - Clinical staging was aÂ non-prespecified outcome. The data is stratified into 4 reported groups by clinical stage and 23 groups by assessment method. This adds 92 outcomes that were not pre-specified if we include the subgroup analysis, or 16 if we omit the subgroups. For the purposes of COMPare we will omit subgroups.",,,,,,,,,,,,
Table 4 - Histological findings. These were not pre-specified (110 outcomes). Trivia.,,,,,,,,,,,,
Table 5 - Need for biopsy. This was not pre-specified (12 outcomes). Trivia.,,,,,,,,,,,,
