Trial Info,,,,,,,,,,,,
Week,16/11/2015,,,,,,,,,,,
Study ID,57,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,
Trial Title,"Spironolactone versus placebo, bisoprolol, and doxazosin to determine the optimal treatment for drug-resistant hypertension (PATHWAY-2): a randomised, double-blind, crossover trial",,,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00257-3/abstract,,,,,,,,,,,
Publication date,21/11/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/show/NCT02369081,,,EudraCT number 2008-007149-30 Registered before trial commencement,,,,,,,,
Registry ID,NCT02369081,,,,,,,,,,,
"Protocol link, if available",http://bmjopen.bmj.com/content/5/8/e008951,,,Published after final data collection,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,"SPIRONOLACTONE VS PLACEBO (difference in home systolic BP averages between each active drug and placebo, 12 weeks, when each drug at max tolerated dose.",,,,,,,Yes,,,,
2,"DOXAZOCIN VS PLACEBO (difference in home systolic BP averages between each active drug and placebo, 12 weeks, when each drug at max tolerated dose.",,,,,,,No,,,,
3,"BISOPROLOL VS PLACEBO (difference in home systolic BP averages between each active drug and placebo, 12 weeks, when each drug at max tolerated dose.",,,,,,,No,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,3,,,,,,TOTALS,1,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Difference in home BP between the best drug predicted by the patientâs plasma renin and the observed best drug,,,,,,,No,,,Yes,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,0,,,1,
,,,,,,,,,,,,
Mean differences in home systolic blood pressureÂ at Â for each cycle (Spironolactone vs placebo)Â  ,,,,,,,,Correctly reported as non-pre-specified?,,,Not declared as non-prespecified,
1,Mean differences in home systolic blood pressure averaged across both visits for each cycle (Spironolactonevs mean bisoprolol and doxazosin)Â  ,,,,,,,No,,,Yes,
2,Mean differences in home systolic blood pressure averaged across both visits for each cycle (Spironolactone vs doxazosin)Â  ,,,,,,,No,,,Yes,
3,Mean differences in home systolic blood pressure averaged across both visits for each cycle (Spironolactone vs bisoprolol)Â  ,,,,,,,No,,,Yes,
4,Home systolic blood pressure dose response (higher vs lower dose) for placebo,,,,,,,No,,,Yes,
5,Home systolic blood pressure dose response (higher vs lower dose) for spironolactone,,,,,,,No,,,Yes,
6,Home systolic blood pressure dose response (higher vs lower dose) for doxazosin,,,,,,,No,,,Yes,
7,Home systolic blood pressure dose response (higher vs lower dose) for bisoprolol,,,,,,,No,,,Yes,
8,Blood pressure response versus renin by regression (90% CI) of placebo corrected change in home systolic blood pressure for bisoprolol,,,,,,,No,,,Yes,
9,Blood pressure response versus renin by regression (90% CI) of placebo corrected change in home systolic blood pressure for doxazosin,,,,,,,No,,,Yes,
10,Blood pressure response versus renin by regression (90% CI) of placebo corrected change in home systolic blood pressure for spironolactone,,,,,,,No,,,Yes,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,10,
Total,10,,,,,,TOTALS,0,,,,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
Outcomes were not entered into clinicaltrials.gov registry untilÂ 4 months before final data collection.Â Protocol was not published until after final data collection,,,,,,,,,,,,
