source_result_id	todo_type	priority	detail	starting_point
sr_bc78312ff9c4	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1089/acm.2006.6237
sr_5598a1474491	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1016/j.jbusres.2016.03.030
sr_362d2e514afe	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037//0021-9010.79.5.691
sr_a182ef5b0da7	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.3389/fpsyg.2016.01155
sr_a182ef5b0da7	review_crossref_candidate	medium	Crossref returned a candidate DOI with low title similarity; review before promoting.	https://api.crossref.org/works?rows=1&query.bibliographic=2016+preregistered+key-question+effect+%28schaefer_2019_preg_81%29+2016.0
sr_f562e2645cdd	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/35013560/
sr_8486dcbc1804	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1080/02699931.2017.1394817
sr_3dcf8949d2f9	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1371/journal.pone.0121537
sr_c8398f907345	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT03527173
sr_60360366c47c	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT00511342
sr_8d7eceba3893	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/0021-9010.91.6.1276
sr_266b83deab6b	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1080/08838151.2012.732140
sr_32e8f46f1c24	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://www.socialscienceregistry.org/trials/5055
sr_32e8f46f1c24	review_crossref_candidate	medium	Crossref returned a candidate DOI with low title similarity; review before promoting.	https://api.crossref.org/works?rows=1&query.bibliographic=China-aid+attitudes+survey+experiment+-+paper+median+of+3+preregistered+result+rows+Journal+of+Experimental+Political+Science
sr_57e119b02525	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1093/jcr/ucv051
sr_ceddf70c38b1	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT00457730
sr_acfd28ade498	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/36573383/
sr_995bd3c3900a	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/pspp0000165
sr_e567a2ed8bf8	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/37399103/
sr_a3c89d628df7	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/32276964/
sr_07eb16a91055	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1038/jcbfm.2011.7
sr_418e6ec7b4d3	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/38741014/
sr_68030d0ead7f	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/0022-3514.95.2.420
sr_9e1a912c9b1d	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/34187551/
sr_df1f5890afec	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT02887989
sr_f5b1fa84ce27	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x
sr_17b0cfe42e6d	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT01903252
sr_c1cbd6657a4e	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/a0020373
sr_6e06fcfca537	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/33514426/
sr_307943984453	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.3765/plsa.v4i1.4501
sr_307943984453	review_crossref_candidate	medium	Crossref returned a candidate DOI with low title similarity; review before promoting.	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_SOC.079+1980.0
sr_61bbdea80744	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/a0038163
sr_1ed207224a85	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/0021-9010.87.1.185
sr_fdf78d9e9f66	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT00796653
sr_72511a245c94	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT02561806
sr_c5752f09223e	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/23449627/
sr_9c4daeb580e8	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT01391468
sr_c25aa56f24e3	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/22556244/
sr_4871288bad74	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT00422084
sr_92b015f56f77	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT01163214
sr_2c54a948cfe2	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT00529399
sr_6884c920951c	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1016/j.cogpsych.2006.04.003
sr_333ef50a595e	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://clinicaltrials.gov/study/NCT02398188
sr_03355505d651	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1016/j.jesp.2012.11.013
sr_e89d75ebfd8e	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064
sr_e89d75ebfd8e	review_crossref_candidate	medium	Crossref returned a candidate DOI with low title similarity; review before promoting.	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_CLI.064+2015.0
sr_61aeb1d7281e	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1371/journal.pone.0105825
sr_e786a4f0bdc3	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/0012-1649.25.6.954
sr_81dcacb19b9f	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1111/j.1467-8624.2011.01580.x
sr_e74bda715816	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1037/lhb0000029
sr_3ea41f299d78	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1016/j.cell.2011.09.029
sr_78c450606fc2	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1177/0956797613501521
sr_c32a10acbc15	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/39789286/
sr_68c0e5067d4b	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1017/xps.2014.18
sr_f339c0254923	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1016/s0962-1849(12)00012-1
sr_9078255a0573	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/36792583/
sr_b38402a7e48a	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://doi.org/10.1086/684582
sr_deff8d4a6913	verify_number_in_original_or_authoritative_source	medium	The plotted number is traceable locally, but the copied number is not yet verified against original paper/table/API text.	https://pubmed.ncbi.nlm.nih.gov/33987465/
