problem_id	source_result_id	table_name	column_name	problem_code	severity	detail	suggested_rework	resolved	resolved_by	resolved_at
prob_35b8fe8f924e	sr_bc78312ff9c4	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is staged_replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_252a6fc1e88e	sr_5598a1474491	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6a0d5a73dc3f	sr_362d2e514afe	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_838156c7007c	sr_a182ef5b0da7	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6d742bee7cfd	sr_f562e2645cdd	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_16f2dc334b4f	sr_8486dcbc1804	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_82ee823835df	sr_3dcf8949d2f9	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_5d7004786df5	sr_c8398f907345	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_02f48e8dc2f5	sr_60360366c47c	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_569cdc37ba2f	sr_8d7eceba3893	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_977ef85ee9c0	sr_266b83deab6b	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_84804a3a9632	sr_57e119b02525	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
