canonical_result_id	represented_source_id	preferred_source_result_id	result_label	D	N	effect_metric_for_plot	panel	row_unit	source_result_count	aggregation_rule	D_min	D_median	D_max	N_min	N_median	N_max	resolution_status	resolution_notes
cr_641bfcb0568c	work_nct_nct01606124	sr_a2792b5f35b5	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	0.1851860019700711	39.0	d_proxy	plot_3	Plot 3	1	single sampled source-result	0.1851860019700711	0.1851860019700711	0.1851860019700711	39.0	39.0	39.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1fe4ef5e7c66	work_title_weight_loss_maintenance_weight_regain	sr_bc78312ff9c4	Weight-loss maintenance / weight regain	0.48	92.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.48	0.48	0.48	92.0	92.0	92.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_852b6f1ad812	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	sr_5598a1474491	Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels	0.3919927969080109	100.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.3919927969080109	0.3919927969080109	0.3919927969080109	100.0	100.0	100.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_a45f030d149c	work_title_jap_79_5_691	sr_362d2e514afe	JAP-79-5-691	0.1605144707810256	270.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.1605144707810256	0.1605144707810256	0.1605144707810256	270.0	270.0	270.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_4d82f0338c25	work_nct_nct00373113	sr_9800e39769a1	Progression-Free Survival (PFS)	0.2815124490526931	482.0	d_proxy	plot_3	Plot 3	1	single sampled source-result	0.2815124490526931	0.2815124490526931	0.2815124490526931	482.0	482.0	482.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_5477126f3de1	work_nct_nct00676650	sr_06354aed9477	Overall Survival (OS)	0.0933649643798547	873.0	d_proxy	plot_3	Plot 3	1	single sampled source-result	0.0933649643798547	0.0933649643798547	0.0933649643798547	873.0	873.0	873.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_87a6c6df06d0	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	sr_a182ef5b0da7	2016 preregistered key-question effect (schaefer_2019_preg_81)	0.2400000000000007	53.0	d_proxy	plot_3	Plot 3	1	single sampled source-result	0.2400000000000007	0.2400000000000007	0.2400000000000007	53.0	53.0	53.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_a462f1b7d71c	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	sr_f562e2645cdd	Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population.	0.6729754887154857	206.5	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.6729754887154857	0.6729754887154857	0.6729754887154857	206.5	206.5	206.5	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_b7e069c1d0ed	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	sr_8486dcbc1804	Disgust photographs lead to slower discrimination than frightening photographs	0.53	30.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.53	0.53	0.53	30.0	30.0	30.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_d336b25a1b0a	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	sr_3dcf8949d2f9	Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution	0.3821520694228441	98.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.3821520694228441	0.3821520694228441	0.3821520694228441	98.0	98.0	98.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_3af09bd82bca	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	sr_c8398f907345	Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition	0.1887037931280126	71.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.1887037931280126	0.1887037931280126	0.1887037931280126	71.0	71.0	71.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_7bb2ef9d0d78	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	sr_7a1e8bbfd877	Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	0.4412304518009182	311.0	d_proxy	plot_4	Plot 4	1	single sampled source-result	0.4412304518009182	0.4412304518009182	0.4412304518009182	311.0	311.0	311.0	single_source_result	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
