batch004_seed_id	candidate_id	batch004_action	dedupe_action	final_row_status	original_doi	replication_doi	original_title	replication_title	current_root_pair_ids	dedupe_key_text	created_at
batch004_seed_fde63b2d792fc96c	api_candidate_e1d480fa16f7df49	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1027/1864-9335/a000178		Investigating Variation in Replicability	fig1_pair_22a4bfe5b457b4f6|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_c937d9ffb68530f5|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	10 1027 1864 9335 a000178 investigating variation in replicability unresolved original target investigating variation in replicability	2026-05-06T02:14:52+00:00
batch004_seed_d4f7a4e2bbddd0bc	api_candidate_9db26ff9b8058473	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1371/journal.pone.0042510	Effects on Social and Food Judgments	Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments		10 1371 journal pone 0042510 effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments	2026-05-06T02:14:52+00:00
batch004_seed_c445d6b4c2906091	api_candidate_2510abd248029365	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1371/journal.pone.0072467		Two Failures to Replicate High-Performance-Goal Priming Effects	fig1_pair_d296a67b1df1c9c1	10 1371 journal pone 0072467 two failures to replicate high performance goal priming effects unresolved original target two failures to replicate high performance goal priming effects	2026-05-06T02:14:52+00:00
batch004_seed_4a41576d01ecc801	api_candidate_f3e7061d478e1e53	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1111/jne.12384		Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory		10 1111 jne 12384 is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory unresolved original target is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory	2026-05-06T02:14:52+00:00
batch004_seed_7fa485861486f67c	api_candidate_eaa8a0f32f7aab10	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.2139/ssrn.4437368		Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games		10 2139 ssrn 4437368 direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games unresolved original target direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games	2026-05-06T02:14:52+00:00
batch004_seed_15ff6530bf542cae	api_candidate_5b170b3d5b414951	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1177/17456916211041116		Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”		10 1177 17456916211041116 kinds of replication examining the meanings of conceptual replication and direct replication unresolved original target kinds of replication examining the meanings of conceptual replication and direct replication	2026-05-06T02:14:52+00:00
batch004_seed_a7eeb06533f60d9e	api_candidate_30df9bd015197ff3	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1556/1661.2025.00102		Replication matters: Advances in Translational Research's commitment to Direct Replication Studies		10 1556 1661 2025 00102 replication matters advances in translational research s commitment to direct replication studies unresolved original target replication matters advances in translational research s commitment to direct replication studies	2026-05-06T02:14:52+00:00
batch004_seed_5cad0be330f1245d	api_candidate_00a1031c6c027f6a	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.21428/cb6ab371.ea00ca58	Pickett and Baker (2014)	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	fig1_pair_61eaf2dbf15d5d0a	10 21428 cb6ab371 ea00ca58 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014	2026-05-06T02:14:52+00:00
batch004_seed_9abe14cf35afa7cc	api_candidate_da16e390f5f2516a	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.21428/cb6ab371.c346e3b9	Pickett and Baker (2014)	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	fig1_pair_61eaf2dbf15d5d0a	10 21428 cb6ab371 c346e3b9 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014	2026-05-06T02:14:52+00:00
batch004_seed_87f9e7a123425054	api_candidate_c482b68e388efb4c	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1016/j.virol.2005.10.004	porcine circovirus type 1	Regeneration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1		10 1016 j virol 2005 10 004 porcine circovirus type 1 regeneration of the replication associated proteins tandem direct repeat recognition nucleotide sequence at the origin of dna replication of porcine circovirus type 1 porcine circovirus type 1 regeneration of the replication associated proteins tandem direct repeat recognition nucleotide sequence at the origin of dna replication of porcine circovirus type 1	2026-05-06T02:14:52+00:00
