result_option_disposition_id	value_scan_id	candidate_id	outcome	promotion_decision	final_result_status	root_pair_id	D_original	N_original	D_replication	N_replication	next_action
result_disposition_947873f3c02ddcab	batch003_value_saliva_sharing_proportion_looking	api_candidate_6567045e2123a4f9	Infants' saliva-sharing cue and proportion of looking time	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_6f4eb8922f2083e6	0.95	20	0.46	50	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_f4c6b879413ec5c9	batch002_value_objective_coherence_study2_tree_photos	api_candidate_49114652db6026d3	Study 2 objective-coherence tree-photo sequence and meaning in life	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_38c3dbaec110de6a	0.37	137	0.06	478	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_a3d905296cd58dfa	batch002_value_objective_coherence_study4_word_triads	api_candidate_49114652db6026d3	Study 4 linguistic triads coherence manipulation and meaning in life	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_391216fda553efc4	0.44	169	0.10	291	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_76b6e185e03761f8	batch002_notrow_phone_presence_clustered_multilevel	api_candidate_7a25e1fb88a57d3c	Mere presence of mobile phone and relationship quality/closeness	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			37		52	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_2540e949000fe28c	batch002_notrow_novelty_recognition_paired_interaction	api_candidate_38f85ce298c4da7a	Novelty recognition-memory expectancy effect	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		1.77	12		36	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_80387ae7462eb520	batch002_notrow_bmap_antimicrobial_raw_needed	api_candidate_3e8c9568db2bcd63	BMAP-28 antimicrobial peptide MIC experiment	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		37.80		8.58		retain_as_bench_replication_context_not_current_figure1_row
result_disposition_0013e2dd5a07a4d8	batch002_notrow_vocal_fold_case_series_native	api_candidate_b6908a974331b8bf	Vocal fold immobility after cardiovascular surgery case-series replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			1452		2650	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_85a0df9776944116	batch002_notrow_body_inversion_mixed_model	api_candidate_6260c1eb06960347	Body inversion paradigm and sexualized-body recognition	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			74		101	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_57381bdb6b968954	batch002_notrow_porcine_circovirus_molecular_sequence	api_candidate_c482b68e388efb4c	Porcine circovirus origin-of-replication sequence recognition	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_b535ed2a57d04f6b	batch002_notrow_bilingual_lexicon_conceptual_native	api_candidate_fbc648c4fc928c00	Bilingual lexicon convergence conceptual replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_5d89e907e3a0bea5	batch002_notrow_fasting_glucose_gwas_native	api_candidate_a6531c0216f61f31	GWAS fasting glucose loci in African-Americans	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_b8e1d41a51f85a91	batch002_notrow_180_genetic_associations_native_many_rows	api_candidate_a848f855bce57e2b	Over 180 self-reported medical-data genetic associations	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
