batch002_seed_id	candidate_id	batch002_action	dedupe_action	final_row_status	original_doi	replication_doi	original_title	replication_title	current_root_pair_ids	dedupe_key_text	created_at
batch002_seed_fde63b2d792fc96c	api_candidate_e1d480fa16f7df49	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1027/1864-9335/a000178		Investigating Variation in Replicability	fig1_pair_22a4bfe5b457b4f6|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_c937d9ffb68530f5|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	10 1027 1864 9335 a000178 investigating variation in replicability unresolved original target investigating variation in replicability	2026-05-05T23:56:58+00:00
batch002_seed_d4f7a4e2bbddd0bc	api_candidate_9db26ff9b8058473	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1371/journal.pone.0042510	Effects on Social and Food Judgments	Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments		10 1371 journal pone 0042510 effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments	2026-05-05T23:56:58+00:00
batch002_seed_3a3dd94900da4d5a	api_candidate_eaa8a0f32f7aab10	exclude_until_query_resolves_specific_original_target	skip_until_original_target_resolved	not_row_unresolved_original_target		10.2139/ssrn.4437368		Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games		10 2139 ssrn 4437368 direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games unresolved original target direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games	2026-05-05T23:56:58+00:00
batch002_seed_15ff6530bf542cae	api_candidate_5b170b3d5b414951	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1177/17456916211041116		Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”		10 1177 17456916211041116 kinds of replication examining the meanings of conceptual replication and direct replication unresolved original target kinds of replication examining the meanings of conceptual replication and direct replication	2026-05-05T23:56:58+00:00
batch002_seed_a7eeb06533f60d9e	api_candidate_30df9bd015197ff3	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1556/1661.2025.00102		Replication matters: Advances in Translational Research's commitment to Direct Replication Studies		10 1556 1661 2025 00102 replication matters advances in translational research s commitment to direct replication studies unresolved original target replication matters advances in translational research s commitment to direct replication studies	2026-05-05T23:56:58+00:00
batch002_seed_2a3b0ca0ce4a740b	api_candidate_c357889f3d12f9b1	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1111/jne.12384		Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory		10 1111 jne 12384 is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory unresolved original target is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory	2026-05-05T23:56:58+00:00
batch002_seed_01b322282b0ab972	api_candidate_08e65261327b34f0	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1037/pspa0000121.supp		Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect		10 1037 pspa0000121 supp supplemental material for when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect unresolved original target supplemental material for when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect	2026-05-05T23:56:58+00:00
batch002_seed_f643e2ed2868feb6	api_candidate_103a002c9f30029a	exclude_until_query_resolves_specific_original_target	skip_until_original_target_resolved	not_row_unresolved_original_target		10.3389/fpubh.2020.579559		Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States		10 3389 fpubh 2020 579559 early covid 19 interventions failed to replicate 1918 st louis vs philadelphia outcomes in the united states unresolved original target early covid 19 interventions failed to replicate 1918 st louis vs philadelphia outcomes in the united states	2026-05-05T23:56:58+00:00
batch002_seed_06cea18ae3d89136	api_candidate_431e61f1075c1e4b	exclude_until_query_resolves_specific_original_target	skip_until_original_target_resolved	not_row_unresolved_original_target		10.1038/npp.2012.245		Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate		10 1038 npp 2012 245 candidate gene studies of a promising intermediate phenotype failure to replicate unresolved original target candidate gene studies of a promising intermediate phenotype failure to replicate	2026-05-05T23:56:58+00:00
batch002_seed_13e6963a0b85522e	api_candidate_ac518393f5f3ba70	exclude_until_query_resolves_specific_original_target	skip_until_original_target_resolved	not_row_unresolved_original_target		10.1038/s41598-023-46527-9		The CASA theory no longer applies to desktop computers		10 1038 s41598 023 46527 9 the casa theory no longer applies to desktop computers unresolved original target the casa theory no longer applies to desktop computers	2026-05-05T23:56:58+00:00
