candidate_disposition_id	candidate_id	candidate_name	manifest_path	candidate_route	route_decision	final_row_status	final_row_reason	promoted_result_option_count	held_result_option_count	value_scanned_result_option_count	current_root_pair_ids	current_root_source_datasets	source_url_count	mirrored_source_count	mirror_errors	next_action
row_disposition_b703cdd0a48f5aba	api_candidate_e1d480fa16f7df49	unresolved original target -> Investigating Variation in Replicability	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	already_in_root_table	already_in_current_root_table	Current root table already contains a matching DOI/title/source-family row; no new row needed.	0	0	0	fig1_pair_22a4bfe5b457b4f6|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_c937d9ffb68530f5|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	FReD filtered pair table	0	0		
row_disposition_e33c23c82939d2af	api_candidate_9db26ff9b8058473	Effects on Social and Food Judgments -> Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_rejected_after_value_scan	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted	0	1	1			8	7	URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1035)>	
row_disposition_1346312d3d5493f6	api_candidate_eaa8a0f32f7aab10	unresolved original target -> Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_unresolved_original_target	Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.	0	0	0			1	0	http_error_403	Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.
row_disposition_0555183bb9cec4d5	api_candidate_5b170b3d5b414951	unresolved original target -> Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			1	0	http_error_403	
row_disposition_163255c777fa3c17	api_candidate_30df9bd015197ff3	unresolved original target -> Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			1	1		
row_disposition_28dbfb5cf7dbc20c	api_candidate_c357889f3d12f9b1	unresolved original target -> Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			6	5	http_error_403	
row_disposition_a2dec24cbee83992	api_candidate_08e65261327b34f0	unresolved original target -> Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			1	1		
row_disposition_fe618f159b0b484b	api_candidate_103a002c9f30029a	unresolved original target -> Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_unresolved_original_target	Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.	0	0	0			1	1		Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.
row_disposition_0bf3a1cad389a1b1	api_candidate_431e61f1075c1e4b	unresolved original target -> Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	not_row_unresolved_original_target	Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.	0	0	0			6	6		Metadata hit has replication language but no resolved original paper/result target; retained only as a no-repull/search lead.
row_disposition_cd760e3825c533ee	api_candidate_ac518393f5f3ba70	unresolved original target -> The CASA theory no longer applies to desktop computers	steps/searches/figure1/individualrepsearch-api-batch001.json	coverage_only	route_to_coverage_only	promoted_to_current_root_row	1 result option(s) promoted and rebuilt into FIGURE1_REPLICATION_PAIRS.tsv.	1	0	1	fig1_pair_372b53d6a524ce30	Individual replication paper value scan	9	9		
