candidate_id	candidate_name	route_type	candidate_route	worklist_path	source_url	final_url	mirror_status	error_or_blocker	content_type	byte_count	sha256	local_path	retrieval_method	created_at
api_candidate_c482b68e388efb4c	porcine circovirus type 1 -> Regeneration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1016/j.virol.2005.10.004	https://linkinghub.elsevier.com/retrieve/pii/S004268220500646X	mirrored		text/html;charset=UTF-8	2781	05f75e011ed33a5efca6653154fa98ae126b0fd3cbd93bfd2764ab2863d41cfb	data/raw/replication_projects/individual_search_batch002/api_candidate_c482b68e388efb4c/01_linkinghub_elsevier_com_retrieve_pii_s004268220500646x_05f75e011ed3.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_33fc74a340d30a53	unresolved original target -> Investigation of direct replication techniques on periodic multilayers	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1117/1.3609797	https://www.spiedigitallibrary.org/redirect/opticalengineering/article?doi=10.1117/1.3609797	mirrored		text/html	1159	f1d519f30cf4f86fd0275e9ab01fb0189d9ff6702025237923dd1ddb75dec2e2	data/raw/replication_projects/individual_search_batch002/api_candidate_33fc74a340d30a53/01_www_spiedigitallibrary_org_redirect_opticalengineering_article_doi_10_11_f1d519f30cf4.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_b6164c6515777459	unresolved original target -> Infants' understanding of solidity: Replicating a failure to replicate	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1016/s0163-6383(96)90452-x	https://linkinghub.elsevier.com/retrieve/pii/S016363839690452X	mirrored		text/html;charset=UTF-8	2686	4b77ed181fb40bfec096f915963de27968d510b63e3a503e00b8291f6b2e353f	data/raw/replication_projects/individual_search_batch002/api_candidate_b6164c6515777459/01_linkinghub_elsevier_com_retrieve_pii_s016363839690452x_4b77ed181fb4.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_21b882b2a3dc29de	the linguistic frame effect on perceived blame and financial liability -> Preregistered direct replication of the linguistic frame effect on perceived blame and financial liability	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1111/lcrp.12244	https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/lcrp.12244	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_d98ff50dae1e74e4	unresolved original target -> Letters to our Future Selves? High-Powered Replication Attempts Question Effects on Future Orientation, Delinquent Decisions, and Risky Investments	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1521/soco.2020.38.6.521	https://guilfordjournals.com/action/cookieAbsent	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_fbc648c4fc928c00	Previous Studies -> Convergence in the Bilingual Lexicon: A Pre-registered Replication of Previous Studies	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.3389/fpsyg.2016.02081	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.02081/full	mirrored		text/html;charset=utf-8	653635	78e011aba44c8f5dff2d438df70d2369c69b915418c50b2dd5c4b15ee5033c4f	data/raw/replication_projects/individual_search_batch002/api_candidate_fbc648c4fc928c00/01_www_frontiersin_org_journals_psychology_articles_10_3389_fpsyg_2016_0208_78e011aba44c.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_848d5160a722eead	unresolved original target -> Corrigendum: Measuring the crowd within again: a pre-registered replication study	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.3389/fpsyg.2015.00238	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2015.00238/full	mirrored		text/html;charset=utf-8	295778	8c2f1ac9ebfc039e37558c0a2067de23e8d54e34e6fdc578dd6e2f6be4581157	data/raw/replication_projects/individual_search_batch002/api_candidate_848d5160a722eead/01_www_frontiersin_org_journals_psychology_articles_10_3389_fpsyg_2015_0023_8c2f1ac9ebfc.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_238b0a0c1fcb9a1d	unresolved original target -> Social memory in children from urban and rural Mozambique: A pre-registered replication study	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1016/j.cogdev.2026.101690	https://linkinghub.elsevier.com/retrieve/pii/S0885201426000213	mirrored		text/html;charset=UTF-8	2708	e0136b4a7b90ea31068158cadae4cfb186ba35263e44abfdd6ec5d2c551e730d	data/raw/replication_projects/individual_search_batch002/api_candidate_238b0a0c1fcb9a1d/01_linkinghub_elsevier_com_retrieve_pii_s0885201426000213_e0136b4a7b90.html	python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_0918fe9a9ed68143	unresolved original target -> Reflection on the Smiling Registered Replication Report	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://doi.org/10.1177/1745691616674460	https://journals.sagepub.com/doi/10.1177/1745691616674460	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
api_candidate_4744525157c37154	unresolved original target -> Replicator degrees of freedom allow publication of misleading failures to replicate	route_to_coverage_only	coverage_only	steps/individual_replication_papers/figure1/individual-paper-worklist-coverage-only.tsv	https://www.pnas.org/content/pnas/116/51/25535.full.pdf	https://www.pnas.org/content/pnas/116/51/25535.full.pdf	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
