result_option_disposition_id	value_scan_id	candidate_id	outcome	promotion_decision	final_result_status	root_pair_id	D_original	N_original	D_replication	N_replication	next_action
result_disposition_128baff68bb43ae3	batch001_value_moral_forecasting_exp1_close	moral_forecasting_teper_bo	Experiment 1 close replication, original math-cheating task	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_a16ee692280cfc30	0.98	39	0.69	907	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_502b9299e8509584	batch001_value_spacing_induction_exp2	spacing_induction_kornell_verkoeijen	Experiment 2 spacing-vs-massing recognition hit-rate effect	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_edad9df532d82302	0.41	80	0.37	123	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_ee65629e3ccda9b2	batch001_value_rubber_hand_disgust_main	rubber_hand_disgust_jalal_nitta	Disgust during synchronous versus asynchronous rubber-hand illusion	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_774ff3c7b825cb82	2.80	11	1.39	52	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_07dbccfa2d6a54d4	batch001_value_medusa_exp5_dictator_game	medusa_effect_will_han	Experiment 5 / Study 2 dictator-game allocation L1 versus L2	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_09c55de9a08e9fb8	0.36	199	0.09	785	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_404c30d0707f39f6	batch001_value_medusa_exp2_realness	medusa_effect_will_han	Experiment 2 / Study 1 mind-perception realness dimension	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_6ed7ad107ca47f29	0.83	107	0.98	219	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_0408ccd8d383736c	batch001_value_medusa_exp2_experience	medusa_effect_will_han	Experiment 2 / Study 1 mind-perception experience dimension	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_7764c40f4a76352c	0.34	109	0.50	198	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_6587c7c67e96145d	batch001_value_medusa_exp2_agency	medusa_effect_will_han	Experiment 2 / Study 1 mind-perception agency dimension	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_0836dc36089471eb	0.39	104	0.88	185	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_a5bd1b6c8f383604	batch002_value_goal_priming_exp1_immediate	IND-010	Experiment 1 immediate high-performance-goal priming word-search	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_d296a67b1df1c9c1	0.70	78	0.24	98	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_2a1c5734029feb1d	batch002_value_physical_warmth_hot_cup_personality	IND-012	Hot-cup manipulation and interpersonal personality warmth judgment	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_84ae5b6f75f33291	0.58	41	0.06	128	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_816be88e31a294ee	batch002_value_physical_warmth_heat_pad_reward_choice	IND-012	Therapeutic heat-pad manipulation and prosocial reward choice	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_91a0019783508f95	0.65	53	0.04	177	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_9d1d29a50383a21e	batch002_value_bem_ritchie_retroactive_recall	IND-005	Retroactive facilitation of recall, three exact replications	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_3212a5f9117f1e44	0.42	50	0.08	150	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_9458a3c494aa0576	batch002_value_power_motor_golf_direct	IND-008	Power manipulation and golf-putting motor performance	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_b045a3a75ab7af31	0.71	36	0.11	73	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_26787a46e9fc3058	batch002_value_organic_food_moral_judgments	IND-009	Organic-food exposure and moral judgments	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_5fd8dad166addf97	0.81	63	0.06	377	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_17887d4c1dde2d12	batch002_value_organic_food_prosocial_behavior	IND-009	Organic-food exposure and prosocial behavior	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_804ddc85017ffb89	0.64	63	0.03	377	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_af3f58bbd3fdae3f	batch003_value_oxytocin_envelope_pooled	IND-002	Oxytocin Envelope Task pooled direct replications	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_48321f50417489a1	2.29	60	0.12	156	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_947873f3c02ddcab	batch003_value_saliva_sharing_proportion_looking	api_candidate_6567045e2123a4f9	Infants' saliva-sharing cue and proportion of looking time	promote_to_harvested_pair_contract	row_in_current_root_table	fig1_pair_6f4eb8922f2083e6	0.95	20	0.46	50	run_analyze_replication_pairs_then_downstream_figure1_rebuild
result_disposition_d4a04da9c0769033	batch003_notrow_social_distance_study1_policy	api_candidate_9db26ff9b8058473	Social-distance priming Study 1 near-versus-far food-judgment replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.76	56		44	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted
result_disposition_16c936284153de6a	batch003_notrow_authentic_pedagogy_native	api_candidate_d69512d607ea08f3	Authentic pedagogy multilevel achievement replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f190e2ffce8460b2	batch003_notrow_messenger_source_blocked	api_candidate_b9cdb8cc6a76d362	Passive priming verb-semantics replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			24		240	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_b30d638508fcd8b5	batch003_notrow_weissman_native	api_candidate_9a6b74a967e69dba	Congruency sequence effect registered replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			43			retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f1bd8a98531bee61	batch003_notrow_kahneman_stage1_no_results	api_candidate_810171915e0f8ccd	Representativeness heuristic registered report	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						recheck_after_stage2_results_are_published
result_disposition_e28d8b9708cc6eb6	batch003_notrow_xu_tenenbaum_native	api_candidate_6287214392755e51	Social context and lexical knowledge learning replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						manual_acquisition_if_native_learning_effects_are_in_scope
result_disposition_4ec1691b22874894	batch003_notrow_bock_animacy_source_blocked	api_candidate_786cc2f5ecc3de84	Animacy and structural priming replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					496	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ffd437a9fcf9b719	batch003_notrow_rabbitt_original_n_missing	api_candidate_c49eb133d5977b06	Rabbitt Experiment 2 speech masking direct replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		0.19		0.19	200	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n
result_disposition_7634bf0a98493be7	batch003_notrow_bem_study8_source_blocked	api_candidate_fbe05a26e9edabb8	Bem Study 8 procedure replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		99	100	111	112	already_represented_by_manual_bem_precognition_galak_2012_root_row
